crop,year,season,state,area,production,fertilizer,pesticide,yield,nitrogen,phosphorus,potassium,ph,avg_temp_c,total_rainfall_mm,avg_humidity_percent
Bajra,1997,Summer     ,Karnataka,820.0,662.0,78039.4,254.2,0.81,72.0,42.0,25.0,6.9,23.55,894.16,69.61
Black pepper,1997,Kharif     ,Karnataka,3825.0,924.0,364025.25,1185.75,0.4375,72.0,42.0,25.0,6.9,23.55,894.16,69.61
Cardamom,1997,Whole Year ,Karnataka,21230.0,1214.0,2020459.1,6581.3,0.058571429,72.0,42.0,25.0,6.9,23.55,894.16,69.61
Coriander,1997,Whole Year ,Karnataka,17317.0,2853.0,1648058.89,5368.27,0.121333333,72.0,42.0,25.0,6.9,23.55,894.16,69.61
Dry chillies,1997,Kharif     ,Karnataka,186579.0,139206.0,1.775672343E7,57839.49,1.078333333,72.0,42.0,25.0,6.9,23.55,894.16,69.61
Dry chillies,1997,Rabi       ,Karnataka,4565.0,7895.0,434451.05,1415.15,1.869444444,72.0,42.0,25.0,6.9,23.55,894.16,69.61
Garlic,1997,Whole Year ,Karnataka,5061.0,3799.0,481655.37,1568.91,1.585,72.0,42.0,25.0,6.9,23.55,894.16,69.61
Ginger,1997,Kharif     ,Karnataka,3619.0,4745.0,344420.23,1121.89,1.262307692,72.0,42.0,25.0,6.9,23.55,894.16,69.61
Groundnut,1997,Kharif     ,Karnataka,847666.0,525562.0,8.067237322E7,262776.46,0.709411765,72.0,42.0,25.0,6.9,23.55,894.16,69.61
Groundnut,1997,Rabi       ,Karnataka,192416.0,181071.0,1.831223072E7,59648.96,1.133333333,72.0,42.0,25.0,6.9,23.55,894.16,69.61
Horse-gram,1997,Kharif     ,Karnataka,178872.0,80124.0,1.702324824E7,55450.32,0.45,72.0,42.0,25.0,6.9,23.55,894.16,69.61
Horse-gram,1997,Rabi       ,Karnataka,163173.0,82572.0,1.552917441E7,50583.63,0.514705882,72.0,42.0,25.0,6.9,23.55,894.16,69.61
Jowar,1997,Kharif     ,Karnataka,389690.0,516093.0,3.70867973E7,120803.9,1.228,72.0,42.0,25.0,6.9,23.55,894.16,69.61
Jowar,1997,Rabi       ,Karnataka,1501172.0,722773.0,1.428665392E8,465363.32,0.510714286,72.0,42.0,25.0,6.9,23.55,894.16,69.61
Jowar,1997,Summer     ,Karnataka,6137.0,15135.0,584058.29,1902.47,2.470909091,72.0,42.0,25.0,6.9,23.55,894.16,69.61
Maize,1997,Kharif     ,Karnataka,502797.0,1391132.0,4.785119049E7,155867.07,2.687777778,72.0,42.0,25.0,6.9,23.55,894.16,69.61
Maize,1997,Rabi       ,Karnataka,48844.0,98932.0,4648483.48,15141.64,1.98,72.0,42.0,25.0,6.9,23.55,894.16,69.61
Maize,1997,Summer     ,Karnataka,9730.0,20893.0,926004.1,3016.3,2.165714286,72.0,42.0,25.0,6.9,23.55,894.16,69.61
Ragi,1997,Kharif     ,Karnataka,897921.0,1214282.0,8.545514157E7,278355.51,1.191333333,72.0,42.0,25.0,6.9,23.55,894.16,69.61
Ragi,1997,Rabi       ,Karnataka,27104.0,33696.0,2579487.68,8402.24,1.312222222,72.0,42.0,25.0,6.9,23.55,894.16,69.61
Ragi,1997,Summer     ,Karnataka,13521.0,25035.0,1286793.57,4191.51,1.847777778,72.0,42.0,25.0,6.9,23.55,894.16,69.61
Rice,1997,Kharif     ,Karnataka,1031530.0,2340493.0,9.81707101E7,319774.3,2.2335,72.0,42.0,25.0,6.9,23.55,894.16,69.61
Rice,1997,Rabi       ,Karnataka,53889.0,109350.0,5128616.13,16705.59,2.073846154,72.0,42.0,25.0,6.9,23.55,894.16,69.61
Rice,1997,Summer     ,Karnataka,268044.0,762759.0,2.550974748E7,83093.64,2.829444444,72.0,42.0,25.0,6.9,23.55,894.16,69.61
Sugarcane,1997,Whole Year ,Karnataka,308857.0,2.8999269E7,2.939392069E7,95745.67,91.74736842,72.0,42.0,25.0,6.9,23.55,894.16,69.61
Turmeric,1997,Whole Year ,Karnataka,4342.0,24108.0,413228.14,1346.02,4.452941176,72.0,42.0,25.0,6.9,23.55,894.16,69.61
Wheat,1997,Rabi       ,Karnataka,250698.0,118512.0,2.385892866E7,77716.38,0.548333333,72.0,42.0,25.0,6.9,23.55,894.16,69.61
Arecanut,1997,Whole Year ,Kerala,76145.0,93995.0,7246719.65,23604.95,1.147857143,65.0,28.0,50.0,5.7,27.06,2005.29,78.82
Black pepper,1997,Whole Year ,Kerala,173855.0,55520.0,1.654578035E7,53895.05,0.240714286,65.0,28.0,50.0,5.7,27.06,2005.29,78.82
Cashewnut,1997,Whole Year ,Kerala,96073.0,74142.0,9143267.41,29782.63,0.589285714,65.0,28.0,50.0,5.7,27.06,2005.29,78.82
Coconut ,1997,Whole Year ,Kerala,884344.0,5.21E9,8.416301848E7,274146.64,5376.054286,65.0,28.0,50.0,5.7,27.06,2005.29,78.82
Tapioca,1997,Whole Year ,Kerala,132875.0,2841819.0,1.264571375E7,41191.25,22.80357143,65.0,28.0,50.0,5.7,27.06,2005.29,78.82
Arecanut,1997,Whole Year ,Meghalaya,9569.0,12116.0,910681.73,2966.39,1.245714286,52.0,16.0,33.0,5.6,17.16,1954.46,77.31
Arhar/Tur,1997,Kharif     ,Meghalaya,865.0,683.0,82322.05,268.15,0.806666667,52.0,16.0,33.0,5.6,17.16,1954.46,77.31
Banana,1997,Whole Year ,Meghalaya,5239.0,63011.0,498595.63,1624.09,11.20714286,52.0,16.0,33.0,5.6,17.16,1954.46,77.31
Castor seed,1997,Rabi       ,Meghalaya,30.0,15.0,2855.1,9.3,0.49,52.0,16.0,33.0,5.6,17.16,1954.46,77.31
Cotton(lint),1997,Kharif     ,Meghalaya,7544.0,5590.0,717962.48,2338.64,0.796666667,52.0,16.0,33.0,5.6,17.16,1954.46,77.31
Dry chillies,1997,Whole Year ,Meghalaya,1766.0,1106.0,168070.22,547.46,0.64,52.0,16.0,33.0,5.6,17.16,1954.46,77.31
Ginger,1997,Kharif     ,Meghalaya,7357.0,45260.0,700165.69,2280.67,6.054285714,52.0,16.0,33.0,5.6,17.16,1954.46,77.31
Gram,1997,Rabi       ,Meghalaya,443.0,270.0,42160.31,137.33,0.613333333,52.0,16.0,33.0,5.6,17.16,1954.46,77.31
Jute,1997,Kharif     ,Meghalaya,4243.0,34683.0,403806.31,1315.33,8.436666667,52.0,16.0,33.0,5.6,17.16,1954.46,77.31
Linseed,1997,Kharif     ,Meghalaya,50.0,22.0,4758.5,15.5,0.44,52.0,16.0,33.0,5.6,17.16,1954.46,77.31
Maize,1997,Kharif     ,Meghalaya,17175.0,24878.0,1634544.75,5324.25,1.444285714,52.0,16.0,33.0,5.6,17.16,1954.46,77.31
Mesta,1997,Kharif     ,Meghalaya,4688.0,21558.0,446156.96,1453.28,4.68,52.0,16.0,33.0,5.6,17.16,1954.46,77.31
Mesta,1997,Whole Year ,Meghalaya,861.0,713.0,81941.37,266.91,0.7525,52.0,16.0,33.0,5.6,17.16,1954.46,77.31
Other  Rabi pulses,1997,Rabi       ,Meghalaya,1909.0,1511.0,181679.53,591.79,0.777142857,52.0,16.0,33.0,5.6,17.16,1954.46,77.31
Potato,1997,Whole Year ,Meghalaya,20764.0,200509.0,1976109.88,6436.84,8.641428571,52.0,16.0,33.0,5.6,17.16,1954.46,77.31
Rapeseed &Mustard,1997,Rabi       ,Meghalaya,6914.0,4467.0,658005.38,2143.34,0.608571429,52.0,16.0,33.0,5.6,17.16,1954.46,77.31
Rice,1997,Kharif     ,Meghalaya,105170.0,150101.0,1.00090289E7,32602.7,1.378571429,52.0,16.0,33.0,5.6,17.16,1954.46,77.31
Sesamum,1997,Kharif     ,Meghalaya,1326.0,688.0,126195.42,411.06,0.575714286,52.0,16.0,33.0,5.6,17.16,1954.46,77.31
Small millets,1997,Kharif     ,Meghalaya,2804.0,2237.0,266856.68,869.24,0.861428571,52.0,16.0,33.0,5.6,17.16,1954.46,77.31
Soyabean,1997,Kharif     ,Meghalaya,898.0,814.0,85462.66,278.38,0.921428571,52.0,16.0,33.0,5.6,17.16,1954.46,77.31
Sugarcane,1997,Whole Year ,Meghalaya,82.0,225.0,7803.94,25.42,2.352,52.0,16.0,33.0,5.6,17.16,1954.46,77.31
Sweet potato,1997,Whole Year ,Meghalaya,5212.0,16978.0,496026.04,1615.72,3.221428571,52.0,16.0,33.0,5.6,17.16,1954.46,77.31
Tapioca,1997,Whole Year ,Meghalaya,3959.0,21087.0,376778.03,1227.29,6.537142857,52.0,16.0,33.0,5.6,17.16,1954.46,77.31
Tobacco,1997,Rabi       ,Meghalaya,742.0,505.0,70616.14,230.02,0.618,52.0,16.0,33.0,5.6,17.16,1954.46,77.31
Turmeric,1997,Whole Year ,Meghalaya,1401.0,7126.0,133333.17,434.31,5.425714286,52.0,16.0,33.0,5.6,17.16,1954.46,77.31
Wheat,1997,Rabi       ,Meghalaya,4287.0,6894.0,407993.79,1328.97,1.385,52.0,16.0,33.0,5.6,17.16,1954.46,77.31
Arecanut,1997,Whole Year ,West Bengal,8058.0,12423.0,766879.86,2497.98,1.691764706,85.0,40.0,45.0,6.2,25.85,1564.19,72.28
Arhar/Tur,1997,Whole Year ,West Bengal,3630.0,2181.0,345467.1,1125.3,0.777692308,85.0,40.0,45.0,6.2,25.85,1564.19,72.28
Bajra,1997,Kharif     ,West Bengal,207.0,95.0,19700.19,64.17,0.426666667,85.0,40.0,45.0,6.2,25.85,1564.19,72.28
Barley,1997,Whole Year ,West Bengal,6116.0,5034.0,582059.72,1895.96,1.68,85.0,40.0,45.0,6.2,25.85,1564.19,72.28
Cardamom,1997,Whole Year ,West Bengal,2674.0,7.0,254484.58,828.94,0.0,85.0,40.0,45.0,6.2,25.85,1564.19,72.28
Castor seed,1997,Whole Year ,West Bengal,660.0,46.0,62812.2,204.6,0.07,85.0,40.0,45.0,6.2,25.85,1564.19,72.28
Coconut ,1997,Whole Year ,West Bengal,24273.0,3.062023E8,2310061.41,7524.63,13003.78778,85.0,40.0,45.0,6.2,25.85,1564.19,72.28
Cotton(lint),1997,Kharif     ,West Bengal,26000.0,52000.0,2474420.0,8060.0,2.0,85.0,40.0,45.0,6.2,25.85,1564.19,72.28
Dry chillies,1997,Whole Year ,West Bengal,64034.0,55569.0,6094115.78,19850.54,0.942777778,85.0,40.0,45.0,6.2,25.85,1564.19,72.28
Gram,1997,Rabi       ,West Bengal,25485.0,16994.0,2425407.45,7900.35,0.5975,85.0,40.0,45.0,6.2,25.85,1564.19,72.28
Groundnut,1997,Whole Year ,West Bengal,29615.0,38672.0,2818459.55,9180.65,1.13,85.0,40.0,45.0,6.2,25.85,1564.19,72.28
Horse-gram,1997,Kharif     ,West Bengal,5645.0,2556.0,537234.65,1749.95,0.438888889,85.0,40.0,45.0,6.2,25.85,1564.19,72.28
Jowar,1997,Whole Year ,West Bengal,948.0,450.0,90221.16,293.88,0.482,85.0,40.0,45.0,6.2,25.85,1564.19,72.28
Jute,1997,Kharif     ,West Bengal,641574.0,7549700.0,6.105859758E7,198887.94,13.44588235,85.0,40.0,45.0,6.2,25.85,1564.19,72.28
Khesari,1997,Rabi       ,West Bengal,25261.0,28460.0,2404089.37,7830.91,1.095882353,85.0,40.0,45.0,6.2,25.85,1564.19,72.28
Linseed,1997,Whole Year ,West Bengal,16486.0,4210.0,1568972.62,5110.66,0.251538462,85.0,40.0,45.0,6.2,25.85,1564.19,72.28
Maize,1997,Whole Year ,West Bengal,35469.0,130390.0,3375584.73,10995.39,2.658461538,85.0,40.0,45.0,6.2,25.85,1564.19,72.28
Masoor,1997,Rabi       ,West Bengal,51202.0,35040.0,4872894.34,15872.62,0.662352941,85.0,40.0,45.0,6.2,25.85,1564.19,72.28
Mesta,1997,Kharif     ,West Bengal,9689.0,89000.0,922102.13,3003.59,9.154166667,85.0,40.0,45.0,6.2,25.85,1564.19,72.28
Moong(Green Gram),1997,Kharif     ,West Bengal,1490.0,711.0,141803.3,461.9,0.548888889,85.0,40.0,45.0,6.2,25.85,1564.19,72.28
Moong(Green Gram),1997,Rabi       ,West Bengal,3269.0,1710.0,311110.73,1013.39,0.542857143,85.0,40.0,45.0,6.2,25.85,1564.19,72.28
Moong(Green Gram),1997,Summer     ,West Bengal,9959.0,303.0,947798.03,3087.29,0.046,85.0,40.0,45.0,6.2,25.85,1564.19,72.28
Niger seed,1997,Rabi       ,West Bengal,5.08081E7,3.86573E7,4.835406877E9,1.5750511E7,0.698888889,85.0,40.0,45.0,6.2,25.85,1564.19,72.28
Niger seed,1997,Whole Year ,West Bengal,6512.0,3522.0,619747.04,2018.72,0.40375,85.0,40.0,45.0,6.2,25.85,1564.19,72.28
Other Kharif pulses,1997,Kharif     ,West Bengal,1279.0,725.0,121722.43,396.49,0.585,85.0,40.0,45.0,6.2,25.85,1564.19,72.28
Potato,1997,Whole Year ,West Bengal,284015.0,5581553.0,2.702970755E7,88044.65,18.23722222,85.0,40.0,45.0,6.2,25.85,1564.19,72.28
Ragi,1997,Autumn     ,West Bengal,12607.0,15330.0,1199808.19,3908.17,0.986,85.0,40.0,45.0,6.2,25.85,1564.19,72.28
Rapeseed &Mustard,1997,Whole Year ,West Bengal,327123.0,250950.0,3.113229591E7,101408.13,0.718333333,85.0,40.0,45.0,6.2,25.85,1564.19,72.28
Rice,1997,Autumn     ,West Bengal,423121.0,751970.0,4.026842557E7,131167.51,1.837222222,85.0,40.0,45.0,6.2,25.85,1564.19,72.28
Rice,1997,Summer     ,West Bengal,1206829.0,3569520.0,1.148539159E8,374116.99,2.843888889,85.0,40.0,45.0,6.2,25.85,1564.19,72.28
Rice,1997,Winter     ,West Bengal,4270328.0,8915100.0,4.064071158E8,1323801.68,1.985555556,85.0,40.0,45.0,6.2,25.85,1564.19,72.28
Safflower,1997,Whole Year ,West Bengal,10800.0,3000.0,1027836.0,3348.0,0.2975,85.0,40.0,45.0,6.2,25.85,1564.19,72.28
Sannhamp,1997,Whole Year ,West Bengal,2015.0,9073.0,191767.55,624.65,4.598571429,85.0,40.0,45.0,6.2,25.85,1564.19,72.28
Sesamum,1997,Whole Year ,West Bengal,127913.0,88943.0,1.217348021E7,39653.03,0.649444444,85.0,40.0,45.0,6.2,25.85,1564.19,72.28
Small millets,1997,Whole Year ,West Bengal,5046.0,3222.0,480227.82,1564.26,0.626666667,85.0,40.0,45.0,6.2,25.85,1564.19,72.28
Soyabean,1997,Kharif     ,West Bengal,1555.0,1172.0,147989.35,482.05,1.196666667,85.0,40.0,45.0,6.2,25.85,1564.19,72.28
Sugarcane,1997,Whole Year ,West Bengal,25797.0,1818700.0,2455100.49,7997.07,67.83625,85.0,40.0,45.0,6.2,25.85,1564.19,72.28
Sunflower,1997,Whole Year ,West Bengal,278.0,1.0,26457.26,86.18,0.0,85.0,40.0,45.0,6.2,25.85,1564.19,72.28
Turmeric,1997,Whole Year ,West Bengal,12481.0,23556.0,1187816.77,3869.11,1.661111111,85.0,40.0,45.0,6.2,25.85,1564.19,72.28
Urad,1997,Kharif     ,West Bengal,69271.0,44480.0,6592521.07,21474.01,1.825,85.0,40.0,45.0,6.2,25.85,1564.19,72.28
Urad,1997,Rabi       ,West Bengal,16694.0,10553.0,1588767.98,5175.14,0.628333333,85.0,40.0,45.0,6.2,25.85,1564.19,72.28
Wheat,1997,Rabi       ,West Bengal,367374.0,810480.0,3.496298358E7,113885.94,1.886666667,85.0,40.0,45.0,6.2,25.85,1564.19,72.28
Arecanut,1998,Kharif     ,Puducherry,66.0,23.0,6520.8,19.14,0.35,88.0,55.0,40.0,7.0,28.33,1124.51,75.47
Bajra,1998,Kharif     ,Puducherry,149.0,324.0,14721.2,43.21,2.17,88.0,55.0,40.0,7.0,28.33,1124.51,75.47
Black pepper,1998,Kharif     ,Puducherry,12.0,7.0,1185.6,3.48,0.58,88.0,55.0,40.0,7.0,28.33,1124.51,75.47
Coriander,1998,Kharif     ,Puducherry,2.0,1.0,197.6,0.58,0.5,88.0,55.0,40.0,7.0,28.33,1124.51,75.47
Cotton(lint),1998,Summer     ,Puducherry,453.0,372.0,44756.4,131.37,0.84,88.0,55.0,40.0,7.0,28.33,1124.51,75.47
Dry chillies,1998,Kharif     ,Puducherry,8.0,23.0,790.4,2.32,2.75,88.0,55.0,40.0,7.0,28.33,1124.51,75.47
Groundnut,1998,Rabi       ,Puducherry,1046.0,2062.0,103344.8,303.34,1.54,88.0,55.0,40.0,7.0,28.33,1124.51,75.47
Onion,1998,Kharif     ,Puducherry,26.0,429.0,2568.8,7.54,16.5,88.0,55.0,40.0,7.0,28.33,1124.51,75.47
Ragi,1998,Kharif     ,Puducherry,112.0,366.0,11065.6,32.48,3.27,88.0,55.0,40.0,7.0,28.33,1124.51,75.47
Rice,1998,Kharif     ,Puducherry,4945.0,11518.0,488566.0,1434.05,2.46,88.0,55.0,40.0,7.0,28.33,1124.51,75.47
Rice,1998,Rabi       ,Puducherry,13961.0,30220.0,1379346.8,4048.69,2.555,88.0,55.0,40.0,7.0,28.33,1124.51,75.47
Rice,1998,Summer     ,Puducherry,5716.0,14863.0,564740.8,1657.64,2.55,88.0,55.0,40.0,7.0,28.33,1124.51,75.47
Sesamum,1998,Kharif     ,Puducherry,147.0,120.0,14523.6,42.63,0.806666667,88.0,55.0,40.0,7.0,28.33,1124.51,75.47
Small millets,1998,Kharif     ,Puducherry,4.0,3.0,395.2,1.16,0.75,88.0,55.0,40.0,7.0,28.33,1124.51,75.47
Sugarcane,1998,Kharif     ,Puducherry,2710.0,232369.0,267748.0,785.9,82.595,88.0,55.0,40.0,7.0,28.33,1124.51,75.47
Tapioca,1998,Kharif     ,Puducherry,649.0,19110.0,64121.2,188.21,20.0,88.0,55.0,40.0,7.0,28.33,1124.51,75.47
Arecanut,1998,Whole Year ,Assam,74457.0,55355.0,7356351.6,21592.53,0.784347826,60.0,18.0,38.0,5.8,22.98,1701.15,73.03
Arhar/Tur,1998,Kharif     ,Assam,7657.0,5389.0,756511.6,2220.53,0.709130435,60.0,18.0,38.0,5.8,22.98,1701.15,73.03
Banana,1998,Whole Year ,Assam,41885.0,581884.0,4138238.0,12146.65,13.78826087,60.0,18.0,38.0,5.8,22.98,1701.15,73.03
Castor seed,1998,Kharif     ,Assam,1728.0,708.0,170726.4,501.12,0.411428571,60.0,18.0,38.0,5.8,22.98,1701.15,73.03
Coconut ,1998,Whole Year ,Assam,20166.0,1.49866E8,1992400.8,5848.14,6045.886957,60.0,18.0,38.0,5.8,22.98,1701.15,73.03
Cotton(lint),1998,Kharif     ,Assam,1652.0,751.0,163217.6,479.08,0.399130435,60.0,18.0,38.0,5.8,22.98,1701.15,73.03
Dry chillies,1998,Whole Year ,Assam,14724.0,9690.0,1454731.2,4269.96,0.636956522,60.0,18.0,38.0,5.8,22.98,1701.15,73.03
Gram,1998,Rabi       ,Assam,3002.0,1503.0,296597.6,870.58,0.460454545,60.0,18.0,38.0,5.8,22.98,1701.15,73.03
Jute,1998,Kharif     ,Assam,78702.0,687173.0,7775757.6,22823.58,9.040869565,60.0,18.0,38.0,5.8,22.98,1701.15,73.03
Linseed,1998,Rabi       ,Assam,10222.0,5212.0,1009933.6,2964.38,0.480909091,60.0,18.0,38.0,5.8,22.98,1701.15,73.03
Maize,1998,Kharif     ,Assam,19810.0,13965.0,1957228.0,5744.9,0.608695652,60.0,18.0,38.0,5.8,22.98,1701.15,73.03
Mesta,1998,Kharif     ,Assam,5260.0,25623.0,519688.0,1525.4,4.9105,60.0,18.0,38.0,5.8,22.98,1701.15,73.03
Niger seed,1998,Kharif     ,Assam,8753.0,4478.0,864796.4,2538.37,0.520555556,60.0,18.0,38.0,5.8,22.98,1701.15,73.03
Onion,1998,Whole Year ,Assam,8083.0,18341.0,798600.4,2344.07,2.340434783,60.0,18.0,38.0,5.8,22.98,1701.15,73.03
Other  Rabi pulses,1998,Rabi       ,Assam,116141.0,62330.0,1.14747308E7,33680.89,0.50826087,60.0,18.0,38.0,5.8,22.98,1701.15,73.03
Potato,1998,Whole Year ,Assam,76958.0,611077.0,7603450.4,22317.82,7.230434783,60.0,18.0,38.0,5.8,22.98,1701.15,73.03
Rapeseed &Mustard,1998,Rabi       ,Assam,288829.0,135631.0,2.85363052E7,83760.41,0.473478261,60.0,18.0,38.0,5.8,22.98,1701.15,73.03
Rice,1998,Autumn     ,Assam,594979.0,520605.0,5.87839252E7,172543.91,1.055652174,60.0,18.0,38.0,5.8,22.98,1701.15,73.03
Rice,1998,Summer     ,Assam,223913.0,446114.0,2.21226044E7,64934.77,1.685217391,60.0,18.0,38.0,5.8,22.98,1701.15,73.03
Rice,1998,Winter     ,Assam,1635230.0,2288114.0,1.61560724E8,474216.7,1.395652174,60.0,18.0,38.0,5.8,22.98,1701.15,73.03
Sesamum,1998,Kharif     ,Assam,15940.0,8210.0,1574872.0,4622.6,0.485217391,60.0,18.0,38.0,5.8,22.98,1701.15,73.03
Small millets,1998,Kharif     ,Assam,10547.0,5450.0,1042043.6,3058.63,0.521363636,60.0,18.0,38.0,5.8,22.98,1701.15,73.03
Sugarcane,1998,Whole Year ,Assam,30571.0,1223578.0,3020414.8,8865.59,39.89304348,60.0,18.0,38.0,5.8,22.98,1701.15,73.03
Sweet potato,1998,Whole Year ,Assam,9433.0,32437.0,931980.4,2735.57,3.435652174,60.0,18.0,38.0,5.8,22.98,1701.15,73.03
Tapioca,1998,Whole Year ,Assam,2798.0,13261.0,276442.4,811.42,4.445217391,60.0,18.0,38.0,5.8,22.98,1701.15,73.03
Tobacco,1998,Whole Year ,Assam,1465.0,732.0,144742.0,424.85,0.569545455,60.0,18.0,38.0,5.8,22.98,1701.15,73.03
Turmeric,1998,Whole Year ,Assam,10729.0,7416.0,1060025.2,3111.41,0.666956522,60.0,18.0,38.0,5.8,22.98,1701.15,73.03
Wheat,1998,Rabi       ,Assam,89591.0,90509.0,8851590.8,25981.39,0.999545455,60.0,18.0,38.0,5.8,22.98,1701.15,73.03
Arecanut,1998,Whole Year ,Goa,1500.0,1820.0,148200.0,435.0,1.21,65.0,25.0,45.0,6.2,27.35,2059.15,74.64
Banana,1998,Whole Year ,Goa,1900.0,14400.0,187720.0,551.0,7.58,65.0,25.0,45.0,6.2,27.35,2059.15,74.64
Black pepper,1998,Whole Year ,Goa,250.0,70.0,24700.0,72.5,0.28,65.0,25.0,45.0,6.2,27.35,2059.15,74.64
Cashewnut,1998,Whole Year ,Goa,52875.0,15000.0,5224050.0,15333.75,0.28,65.0,25.0,45.0,6.2,27.35,2059.15,74.64
Coconut ,1998,Whole Year ,Goa,24858.0,1.21E8,2455970.4,7208.82,4867.65,65.0,25.0,45.0,6.2,27.35,2059.15,74.64
Groundnut,1998,Kharif     ,Goa,350.0,412.0,34580.0,101.5,1.18,65.0,25.0,45.0,6.2,27.35,2059.15,74.64
Groundnut,1998,Rabi       ,Goa,1048.0,2124.0,103542.4,303.92,2.03,65.0,25.0,45.0,6.2,27.35,2059.15,74.64
Other  Rabi pulses,1998,Rabi       ,Goa,8671.0,9220.0,856694.8,2514.59,1.06,65.0,25.0,45.0,6.2,27.35,2059.15,74.64
